LOS GUARDIANES DEL  PRADO,LUIS LANDERO, - 9788467066173  
LA NOVELA POSIBLE,LUIS LANDERO, - 9788420456249  
RELATOS DE HISTORIAS DE SAN VALENTÍN,LUIS LANDERO, - 9788411373340  
LA FRONTERA LLEVA SU NOMBRE,LUIS LANDERO, - 9788425361234  
EL TIEMPO ENTRE COSTURAS Y SIRA (PACK),LUIS MATEO DIEZ, - 9788408251460  
LA VIDA A VECES,LUIS MATEO DIEZ, - 9788467018721  
EL MAL DE MONTANO,LUZ GABAS, - 9788432214639  
¿DE QUÉ COLOR ES TU PARACAÍDAS?,LUZ GABAS, - 9780882722504  
LA VIDA EN EL MONTE,LUZ GABAS, - 9788411559652  
LA FUENTE DE LA EDAD,LUZ GABAS, - 9788420425849  
LO ÚLTIMO QUE VERÁN TUS OJOS,LUZ GABAS, - 9788401018138  
LAS VOCALES MALDITAS,MANUEL CHAVES NOGALES, - 9786073109567  
EL RELOJ DEL MUNDO (FLASH RELATOS),MANUEL JABOIS, - 9788415597056  
INSTRUCCIONES PARA SALVAR EL MUNDO,MANUEL LONGARES, - 9788420498720  
LA CIUDAD DE LOS PRODIGIOS,MANUEL MORA MORALES, - 9788432291432  
LA PALOMA DE RAVENSBRÜCK,MANUEL VICENT, - 9788499184920  
EL SECRETO NAZI,MANUEL VICENT, - 9788499483962  
TU ROSTRO MAÑANA,MANUEL VILAS, - 9788420408675  
LA ESCALA DE LOS MAPAS,MANUEL VILAS, - 9788499899466  
MISIÓN OLVIDO,MARIA DUEÑAS, - 9788499981970  
ENTERRAR A LOS MUERTOS,MARIA DUEÑAS, - 9788432214448  
1Q84. LIBRO 3,MARIA DUEÑAS, - 9788483836255  
EL DÍA DE MAÑANA,MARIA DUEÑAS, - 9788432214417  
UNA TIENDA EN PARÍS,MARIA LUISA BOMBAL, - 9788427039278  
1Q84. LIBROS 1 Y 2,MARIA MONTESINOS, - 9788483836262  
CHICO BIZARRO Y LAS MOSCAS,MARIA ORUÑA, - 9789996761805  
MARINA (EDICIÓ EN CATALÀ),MARIA REIG, - 9788466421904  
EL POZO,MARIA ZARAGOZA, - 9788423359769  
LOS NOMBRES PROPIOS,MARIO MENDOZA, - 9788418342394  
EL CRIMEN DEL VENDEDOR DE TRICOTOSAS,MARTA BARRIO, - 9788408146063  
CARTAS EN FLORENCIA,MARTA JIMENEZ SERRANO, - 9788461535163  
DE CAP LLOC,MARTA ORRIOLS BALAGUER, - 9788418033162  
LA ESTILISTA. UNA NOVELA SOBRE EL MUNDO DE LA MODA,MARTI GIRONELL, - 9788413841304  
LOS DÍAS PERFECTOS,MARTI GIRONELL, - 9788417977726  
CUENTOS PARA ENTENDER EL MUNDO (EDICIÓN ILUSTRADA CON CONTENIDO EXTRA),MARTI GIRONELL, - 9788417605940  
LOS DIQUES,MAXIM HUERTA, - 9788433942593  
EL MAESTRO DE ALCOBA,MAXIM HUERTA, - 9788413863375  
NADIE SABRÁ DE MÍ,MAXIM HUERTA, - 9788418709425  
ELLA ENTRÓ POR LA VENTANA DEL BAÑO,MAXIM HUERTA, - 9786073195430  
FLORES DE FERRO,MERCEDES GUERRERO, - 9788491515692  
CON ESTO Y UN BIZCOCHO,MIGUEL DELIBES, - 9788418184321  
HOMBRE AL AGUA,MIGUEL DELIBES, - 9788401025754  
ENE BAITAN BIZI DA,MIGUEL DELIBES, - 9788413600154  
LA TERNERA,MIGUEL DELIBES, - 9788433942180  
SUMAY,MILENA BUSQUETS, - 9788413853529  
EL LIBRO DE AISHA,MONICA GUTIERREZ, - 9786073198585  
SECRETOS DE LUZ,MONTSE BARDERI, - 9786124290619  
REGRESO A PARÍS,MURASAKI SHIKIBU, - 9788418128349  
LA PIEL FRÍA,NAJAT EL HACHMI, - 9788420419947  
MI COLOR FAVORITO ES VERTE + NOMEOLVIDES (PACK),NANDO LOPEZ, - 9788408147619  
EL SECRETO DE LA MODELO EXTRAVIADA,NATALIA CARRERO, - 9788432225741  
NO ME DEJES (NE ME QUITTE PAS),NATALIA JUNQUERA, - 9788467046083  
LOS CAPRICHOS DE LA SUERTE,NURIA BARRIOS, - 9788467046380  
ENTRE LOS ROTOS,NURIA BARRIOS, - 9786073186155  
UN DESTINO PROPIO,PACO ARENAS, - 9788466667098  
UN HIPSTER EN LA ESPAÑA VACÍA,PALOMA DIAZ MAS, - 9788439737582  
CUENTOS PARA ENTENDER EL MUNDO 3,PALOMA SAN BASILIO, - 9788413141541  
MISERICORDIA,PALOMA SANCHEZ GARNICA, - 9788413620213  
QUERER A ADAM CONNOR,PALOMA SANCHEZ GARNICA, - 9788417683924  
LA NIÑA Y EL LOBO,PEDRO CLAROS, - 9788413633503  
EL PADRE DE BLANCANIEVES,PEDRO SIMON, - 9788466355315  
LO QUE NO BORRÓ EL DESIERTO,PEDRO ZARRALUKI, - 9789584287441  
LA FORASTERA,PERE CALDERS, - 9788420438467  
OBABAKOAK,PERE ESTUPINYA, - 9788420454528  
REWIND,PIEDAD BONNETT, - 9788433941268  
POSTALES DEL ESTE,PILAR CERNUDA, - 9788401023828  
AVA EN LA NOCHE,PILAR EYRE, - 9788420435640  
LA OTRA ISLA,PILAR EYRE, - 9788467059687  
SEGUIRÉ TUS PASOS,PILAR EYRE, - 9788423357420  
LA CASA DEL AZÚCAR,PILAR EYRE, - 9788466667838  
LOS ÚLTIMOS ROMÁNTICOS,PIO BAROJA, - 9788432236693  
"BIENVENIDO MAL, SI VIENES SOLO",POL GUASCH, - 9789584283153  
EN LA TIERRA DE LOS PRIMEROS BESOS,RAFAEL CHIRBES, - 9788418014420  
LOS REHENES DE LA NOSTALGIA,RAFAEL CHIRBES, - 9788412049466  
"SI NOS ENSEÑARAN A PERDER, GANARÍAMOS SIEMPRE",RAFAEL CHIRBES, - 9788425358265  
NASDROVIA,RAFAEL NAVARRO DE CASTRO, - 9788491649281  
LA LIBRERÍA DEL SEÑOR LIVINGSTONE,RAFAEL REIG, - 9788466668620  
PAULA X Y EL ÚLTIMO POLICÍA DE CORAZÓN PURO,RAFAEL REIG, - 9788418512216  
DULCE INTRODUCCIÓN AL CAOS,RAY LORIGA, - 9788426407856  
UNA PASIÓN ESCRITA,REYES MONFORTE, - 9788466668729  
LA VIDA EN UN MINUTO,RICARDO SILVA ROMERO, - 9788466668026  
DESENCAJADA,RISTO MEJIDE, - 9788417417260  
ESPAÑA DE MIERDA,ROBERT MUSIL, - 9788416306053  
FELICIDADE,RODRIGO MUÑOZ AVIA, - 9789897841484  
INVASIÓN,RODRIGO MUÑOZ AVIA, - 9788415934943  
HARU,ROSA MONTERO, - 9788416673094  
LAS REGLAS DEL SOLDADO DE CRISTO,ROSA MONTERO, - 9788411557870  
EL VALLE DE LAS SOMBRAS,ROSA MONTERO, - 9788491896692  
LA CONGREGACIÓN DE LA GRANADA,ROSA MONTERO, - 9788411314985  
HOTEL LA PAZ,ROSA MONTERO, - 9788418720918  
LOS DESIERTOS POR HABITAR,ROSA MONTERO, - 9788417403478  
PACK LA CUENTA ATRÁS PARA EL VERANO + CONTANDO ATARDECERES,ROSA MONTERO, - 9788448032173  
MIS DELITOS COMO ANIMAL DE COMPAÑÍA,ROSARIO RARO, - 9788419075949  
CUANDO DEJAMOS DE SER JÓVENES,SAMUEL PARRA GIL, - 9788419361424  
EL SECRETO DE NISHA,SANDRA BARNEDA, - 9788411557856  
LAS DUQUELAS,SANDRA BARNEDA, - 9788478989584  
DESDE LA SOMBRA,SARA MESA, - 9788420475318  
OBRAS COMPLETAS DE M. LUISA BOMBAL TOMO 2 LA AMORTAJADA,SARA MESA, - 9789561229075  
TODO ALATRISTE,SARA TORRES, - 9788420425528  
VISADO AL PARAÍSO,SERGIO SARRIA, - 9788491269328  
UNA TEORÍA ATREVIDA,SILVIA SOLER, - 9788416681686  
EL AMANTE LESBIANO,SOLEDAD PUERTOLAS, - 9788466336468  
LA CARNE,SUSANA MARTIN GIJON, - 9788420426211  
LEER A COMENIO,TXANI RODRIGUEZ, - 9789501294170  
CUANDO LOS REPUBLICANOS LIBERARON PARÍS,VANESSA MONTFORT, - 9788416616862  
RENACIMIENTO,VICENTE BLASCO IBAÑEZ, - 9788494351594  
FALCÓ (SERIE FALCÓ),VICTORIA ALVAREZ, - 9788420428949  
SUPERA TUS LÍMITES. CÓMO CONVERTIR TUS MIEDOS EN ALIADOS EBOOK,VIRGINIA FEITO, - 9788494311406  
ESCRIBIR HUMOR ES FÁCIL. TÉCNICAS PROFESIONALES PARA ESCRIBIR HUMOR.,WILLIAM HAZLITT, - 9788493898366  
MEMORIA PEDAGÓGICA DE PROTECCIÓN Y SEGURIDAD,XAVIER BOSCH, - 9781326621063  
