OPCIÓN B,ADAM GRANT, - 9788416883158  
LA FELICIDAD DESPUÉS DEL ORDEN (LA MAGIA DEL ORDEN 2),MARIE KONDO, - 9788403516014  
VIVIR ES UN ASUNTO URGENTE,MARIO ALONSO PUIG, - 9788403005297  
EL COCIENTE AGALLAS,MARIO ALONSO PUIG, - 9788467040074  
AHORA YO,MARIO ALONSO PUIG, - 9788415577751  
REINVENTARSE,MARIO ALONSO PUIG, - 9788415577744  
"TUS TRES SUPERPODERES PARA LOGRAR UNA VIDA MÁS SANA, PRÓSPERA Y FELIZ",MARIO ALONSO PUIG, - 9788467055733  
EL SORPRENDENTE PROPÓSITO DE LA RABIA,MARSHALL B. ROSENBERG, - 9788415053750  
LUZ DE LA TIERRA,MAUREEN GARTH, - 9788408239765  
MANUAL PARA PERSONAS CON ALTA SENSBILIDAD,MEL COLLINS, - 9788491116998  
RESUMEN EXTENDIDO DE LA REGLA DE LOS 5 SEGUNDOS (THE 5 SECOND RULE) - BASADO EN EL LIBRO DE MEL ROBBINS,MEL ROBBINS, - 9783966610254  
PALABRAS QUE CONSUELAN,MERCE CASTRO PUIG, - 9788416429622  
CON LUZ PROPIA. VENCER EN TIEMPOS DE INCERTIDUMBRE,MICHELLE OBAMA, - 9788401029844  
RENACER EN LOS ANDES (NP),MIGUEL ANGEL TOBIAS, - 9788416694792  
LA MAESTRÍA DEL AMOR,MIGUEL RUIZ, - 9788499443331  
ACOMPAÑAR EL CÁNCER,MIRIAM ALGUERO JOSA, - 9788497355179  
PIENSE Y HÁGASE RICO,NAPOLEON HILL, - 9788491116240  
PIENSE Y HÁGASE RICO,NAPOLEON HILL, - 9788418620140  
CONVERSACIONES CON DIOS I,NEALE DONALD WALSCH, - 9786073158343  
UN CORAZÓN SIN FRONTERAS,NICK VUJICIC, - 9786071128294  
SOLOSOFÍA,NIKA VAZQUEZ SEGUI, - 9788411320924  
YO NO VALGO MENOS,OLGA CASTANYER, - 9788433033192  
QUIERO APRENDER A QUERERME CON ASERTIVIDAD,OLGA CASTANYER, - 9788433038401  
SAL DE TU ZONA DE CONFORT,OSHO, - 9788441439344  
UNA SOLA SEMILLA HACE QUE LA TIERRA SEA MÁS VERDE,OSHO, - 9788490194577  
VIVE DE FORMA QUE TE DUELA MARCHARTE,PABLO ARRIBAS, - 9788401027826  
"CABEZA, CORAZÓN Y TRIPA",PABLO ARRIBAS, - 9788416588497  
BIOGRAFÍA DEL SILENCIO,PABLO D ORS, - 9788417971809  
